cluster,centroid_lat,centroid_lon,time,DN,all,drug,financial,low_level_property,low_level_violent,non_criminal,public_order,severe_property,severe_violent,sexual_offenses,weapon
8,41.7714461,-87.66295972,7,D,1249,30,72,169,0,113,9,331,448,26,51
8,41.7838623,-87.71960029,12,N,632,9,23,127,0,46,5,198,180,12,32
8,41.78405043,-87.71528415,2,N,709,14,27,94,2,45,9,268,180,19,51
8,41.78414637,-87.6291911,3,N,1234,17,52,166,1,87,8,360,424,26,93
8,41.78613208,-87.61085938,8,D,1578,13,92,207,0,108,9,556,516,28,49
8,41.80765315,-87.61734053,6,D,1165,10,88,147,0,81,6,430,343,20,40
8,41.8080961,-87.61784237,1,D,1133,9,71,144,0,63,3,483,305,18,37
8,41.80998757,-87.62271796,5,D,1265,16,85,146,2,72,3,476,403,19,43
8,41.88018336,-87.70483238,10,N,1439,43,41,191,2,67,10,412,565,30,78
8,41.88177652,-87.63865839,7,N,1702,13,84,257,2,48,12,691,517,34,44
8,41.88325344,-87.64043483,9,N,1689,16,92,227,1,52,15,710,492,32,52
8,41.91180554,-87.74595071,3,D,1326,37,128,166,4,130,8,439,372,14,28
8,41.91479105,-87.74693206,8,N,1368,18,39,172,0,86,6,419,494,44,90
8,41.92050175,-87.75081734,11,N,1116,21,29,157,1,77,5,398,347,21,60
8,41.93528943,-87.75081752,1,N,893,33,49,122,0,70,10,321,237,29,22
8,41.97294634,-87.82127014,4,D,272,9,45,31,2,27,2,98,48,8,2
8,41.97402515,-87.67215026,9,D,1556,6,160,155,1,99,4,687,411,24,9
9,41.69220302,-87.63362479,5,N,658,3,20,126,0,31,3,216,199,18,42
9,41.69665113,-87.63099741,7,D,871,16,46,116,0,83,4,239,309,20,38
9,41.73730103,-87.56465697,7,N,844,3,19,149,0,63,2,260,277,18,53
9,41.73762434,-87.56599789,9,D,813,7,41,117,0,60,5,263,276,18,26
9,41.73897049,-87.56579412,11,N,680,5,15,108,0,41,2,238,199,17,55
9,41.74332324,-87.57327052,4,D,1150,13,54,157,0,88,6,373,405,21,33
9,41.74490421,-87.57764812,1,N,1116,9,35,207,0,65,5,388,321,22,64
9,41.75674444,-87.64633346,5,D,1283,21,76,170,1,84,9,367,473,26,56
9,41.76137289,-87.64104246,2,N,904,12,20,128,0,52,6,280,305,25,76
9,41.76462198,-87.65158657,3,D,1313,24,83,153,2,126,13,386,455,23,48
9,41.77392081,-87.66441032,11,D,1266,42,60,173,1,100,9,373,437,23,48
9,41.77588698,-87.66770381,10,N,1074,25,27,149,0,59,4,345,382,19,64
9,41.78325509,-87.61280717,9,N,1260,20,40,204,0,53,8,400,440,23,72
9,41.87748674,-87.71340049,2,D,1606,183,92,165,2,113,18,443,500,40,50
9,41.87802023,-87.71893118,1,D,1747,191,101,183,2,92,3,506,581,38,50
9,41.88060881,-87.63792861,8,N,1907,19,101,274,2,43,18,868,498,48,36
9,41.88133647,-87.70726906,10,D,1838,150,94,216,1,102,17,544,653,18,43
9,41.88292893,-87.70706892,12,D,1755,153,97,186,0,150,17,539,543,34,36
9,41.88479476,-87.63785332,8,D,2323,29,237,257,3,79,18,1227,421,28,24
9,41.92778448,-87.75519997,6,D,1150,22,99,125,1,103,4,396,357,22,21
9,41.96002891,-87.78967075,6,N,527,7,28,74,2,41,4,229,122,11,9
9,41.96518009,-87.80884857,4,N,312,4,24,54,1,24,3,118,77,4,3
9,41.97537004,-87.67611104,12,N,1146,10,64,192,0,43,3,516,287,21,10
9,41.979625,-87.85612063,3,N,110,1,13,21,0,16,1,30,23,1,4
