cluster,centroid_lat,centroid_lon,quarter,DN,CrimeGroup,count
9,41.76016299,-87.64906645,1,N,severe_violent,868
0,41.80786894,-87.61471983,2,D,severe_violent,961
1,41.91676766,-87.752421,2,D,severe_violent,1268
2,41.88755325,-87.64003962,2,D,severe_violent,1130
3,41.7659316,-87.65029601,2,D,severe_violent,1400
4,41.97206748,-87.67609239,2,D,severe_violent,1091
5,41.69560152,-87.63675088,2,D,severe_violent,866
6,41.97279894,-87.82246217,2,D,severe_violent,174
7,41.7428194,-87.57483807,2,D,severe_violent,1307
8,41.87641297,-87.70813456,2,D,severe_violent,1596
9,41.7857104,-87.7172756,2,D,severe_violent,744
0,41.78670533,-87.71329017,2,N,severe_violent,729
1,41.88962885,-87.64438368,2,N,severe_violent,1153
2,41.759704,-87.64653243,2,N,severe_violent,1030
3,41.96087586,-87.79803283,2,N,severe_violent,290
4,41.97191579,-87.67637343,2,N,severe_violent,961
5,41.91052903,-87.74455662,2,N,severe_violent,1193
6,41.80985044,-87.62169286,2,N,severe_violent,933
7,41.74337052,-87.5760246,2,N,severe_violent,1037
8,41.86945317,-87.70865747,2,N,severe_violent,1390
9,41.69427139,-87.63649063,2,N,severe_violent,611
0,41.97410769,-87.67349848,3,D,severe_violent,1168
1,41.73911876,-87.56537566,3,D,severe_violent,983
2,41.88490744,-87.63858786,3,D,severe_violent,1295
3,41.7721772,-87.66416522,3,D,severe_violent,1365
4,41.97390928,-87.85625964,3,D,severe_violent,92
5,41.69902501,-87.63179412,3,D,severe_violent,965
6,41.78447228,-87.72538235,3,D,severe_violent,603
7,41.92348046,-87.7581027,3,D,severe_violent,1367
8,41.88367038,-87.7075919,3,D,severe_violent,1867
9,41.78687049,-87.6105281,3,D,severe_violent,1430
0,41.7378092,-87.56464747,3,N,severe_violent,760
1,41.77484292,-87.66683,3,N,severe_violent,1301
2,41.78410276,-87.72746305,3,N,severe_violent,564
3,41.96049449,-87.80725211,3,N,severe_violent,259
4,41.87988087,-87.70573543,3,N,severe_violent,1820
5,41.8819243,-87.63908583,3,N,severe_violent,1512
6,41.96955026,-87.67307505,3,N,severe_violent,1165
7,41.78503221,-87.61153058,3,N,severe_violent,1369
8,41.91698826,-87.74896502,3,N,severe_violent,1324
9,41.70222909,-87.63123676,3,N,severe_violent,833
0,41.77579425,-87.66439833,4,D,severe_violent,1254
1,41.97220379,-87.83815019,4,D,severe_violent,137
2,41.70194991,-87.63262764,4,D,severe_violent,903
3,41.88264999,-87.70733097,4,D,severe_violent,1829
4,41.73897681,-87.56627825,4,D,severe_violent,871
5,41.97379128,-87.6749041,4,D,severe_violent,1072
6,41.784803,-87.61103552,4,D,severe_violent,1449
7,41.8854957,-87.63893541,4,D,severe_violent,1269
8,41.92230484,-87.75544849,4,D,severe_violent,1380
9,41.78186609,-87.72274334,4,D,severe_violent,616
0,41.69970248,-87.63219862,4,N,severe_violent,642
1,41.91971603,-87.75026244,4,N,severe_violent,1218
2,41.88276025,-87.64040138,4,N,severe_violent,1265
3,41.78163753,-87.61243267,4,N,severe_violent,1178
4,41.78278419,-87.72384113,4,N,severe_violent,486
5,41.73836867,-87.56460272,4,N,severe_violent,658
6,41.97298032,-87.67536234,4,N,severe_violent,848
7,41.88110388,-87.7054244,4,N,severe_violent,1535
8,41.77399531,-87.66664694,4,N,severe_violent,1026
9,41.96353306,-87.81606885,4,N,severe_violent,185
0,41.88831654,-87.6419918,1,D,weapon,70
1,41.69366871,-87.63593341,1,D,weapon,122
2,41.80947388,-87.62012639,1,D,weapon,94
3,41.93113596,-87.75249548,1,D,weapon,54
4,41.78564752,-87.71492677,1,D,weapon,70
5,41.74482471,-87.57538051,1,D,weapon,117
6,41.97415577,-87.67542214,1,D,weapon,32
7,41.97615585,-87.8488224,1,D,weapon,8
8,41.87772547,-87.71678345,1,D,weapon,139
9,41.75916469,-87.64729672,1,D,weapon,142
0,41.87785776,-87.72118243,1,N,weapon,239
1,41.80865951,-87.62097869,1,N,weapon,133
2,41.88819094,-87.64542273,1,N,weapon,109
3,41.93511638,-87.75068229,1,N,weapon,79
4,41.74529154,-87.57713033,1,N,weapon,162
5,41.78622527,-87.71655597,1,N,weapon,137
6,41.69408674,-87.63524321,1,N,weapon,105
7,41.97335413,-87.67467534,1,N,weapon,38
8,41.97358205,-87.8368497,1,N,weapon,8
9,41.76016299,-87.64906645,1,N,weapon,214
0,41.80786894,-87.61471983,2,D,weapon,108
1,41.91676766,-87.752421,2,D,weapon,96
2,41.88755325,-87.64003962,2,D,weapon,49
3,41.7659316,-87.65029601,2,D,weapon,177
4,41.97206748,-87.67609239,2,D,weapon,22
5,41.69560152,-87.63675088,2,D,weapon,86
6,41.97279894,-87.82246217,2,D,weapon,6
7,41.7428194,-87.57483807,2,D,weapon,108
8,41.87641297,-87.70813456,2,D,weapon,162
9,41.7857104,-87.7172756,2,D,weapon,72
0,41.78670533,-87.71329017,2,N,weapon,153
1,41.88962885,-87.64438368,2,N,weapon,90
2,41.759704,-87.64653243,2,N,weapon,243
3,41.96087586,-87.79803283,2,N,weapon,19
4,41.97191579,-87.67637343,2,N,weapon,35
5,41.91052903,-87.74455662,2,N,weapon,191
6,41.80985044,-87.62169286,2,N,weapon,152
7,41.74337052,-87.5760246,2,N,weapon,216
8,41.86945317,-87.70865747,2,N,weapon,238
9,41.69427139,-87.63649063,2,N,weapon,113
0,41.97410769,-87.67349848,3,D,weapon,26
1,41.73911876,-87.56537566,3,D,weapon,75
2,41.88490744,-87.63858786,3,D,weapon,70
3,41.7721772,-87.66416522,3,D,weapon,153
4,41.97390928,-87.85625964,3,D,weapon,13
5,41.69902501,-87.63179412,3,D,weapon,116
6,41.78447228,-87.72538235,3,D,weapon,40
7,41.92348046,-87.7581027,3,D,weapon,78
